height,weight,sex,eyes,hair,race,age,city,state
5ft_7in,145,M,BLUE,BROWN,W,29,COLUMBIA,MO
5ft_11in,150,M,BROWN,BLACK,B,22,COLUMBIA,MO
6ft_5in,230,M,BROWN,BLACK,B,27,COLUMBIA,MO
6ft_1in,240,M,BROWN,BLACK,B,39,COLUMBIA,MO
6ft_1in,160,M,BROWN,BLACK,B,26,COLUMBIA,MO
5ft_7in,230,M,BROWN,BROWN,U,33,CALIFORNIA,MO
5ft_7in,187,F,BROWN,BLACK,B,21,COLUMBIA,MO
5ft_8in,135,M,GREEN,BROWN,W,43,BOOVILLE,MO
6ft_in,227,M,BROWN,BLACK,B,51,COLUMBIA,MO
5ft_5in,126,M,BROWN,BROWN,B,18,COLUMBIA,MO
5ft_9in,143,M,BLACK,BLACK,U,30,COLUMBIA,MO
5ft_7in,190,M,BROWN,BROWN,B,54,COLUMBIA,MO
5ft_1_in,210,M,BROWN,BALD,B,39,CAPE_GIRARDEAU,MO
5ft_7in,159,M,GRAY,WHITE,W,69,COLUMBIA,MO
5ft_6in,154,M,BROWN,BLACK,B,34,COLUMBIA,MO
6ft_in,145,M,BROWN,BLACK,B,26,COLUMBIA,MO
5ft_3in,163,M,BROWN,BROWN,B,23,COLUMBIA,MO
5ft_7in,168,M,BROWN,BLACK,B,33,COLUMBIA,MO
5ft_9in,210,M,BROWN,BROWN,W,44,COLUMBIA,MO
,,M,,,B,36,COLUMBIA,MO
5ft_5in,225,M,BROWN,BLACK,B,23,COLUMBIA,MO
6ft_1in,180,M,BROWN,BALD,B,43,COLUMBIA,MO
5ft_1_in,215,M,BROWN,BLACK,B,52,COLUMBIA,MO
5ft_6in,150,F,BROWN,BROWN,W,37,COLUMBIA,MO
6ft_2in,230,M,BROWN,BROWN,W,45,COLUMBIA,MO
5ft_6in,140,M,BLUE,BROWN,W,42,COLUMBIA,MO
6ft_in,220,M,HAZEL,BLOND OR STRAWBERRY,W,32,COLUMBIA,MO
6ft_in,218,M,BROWN,BALD,B,40,WICHITA,KS
5ft_11in,142,M,BROWN,BLACK,B,30,COLUMBIA,MO
6ft_1in,280,M,BROWN,BLACK,B,30,COLUMBIA,MO
5ft_8in,200,M,BROWN,BLACK,B,22,COLUMBIA,MO
6ft_5in,215,M,BROWN,BLACK,B,41,COLUMBIA,MO
5ft_7in,165,M,BROWN,BLACK,B,36,COLUMBIA,MO
6ft_2in,225,M,BROWN,BROWN,B,43,COLUMBIA,MO
5ft_9in,340,M,BROWN,,B,29,COLUMBIA,MO
6ft_in,170,M,BROWN,BLACK,B,33,SANDIAGO,CA
5ft_11in,254,M,HAZEL,BROWN,W,27,COLUMBIA,MO
5ft_8in,170,F,BROWN,BLACK,B,24,COLUMBIA,MO
6ft_1in,208,M,BROWN,BALD,B,61,COLUMBIA,MO
5ft_1_in,160,M,BROWN,RED OR AUBURN,W,24,COLUMBIA,MO
6ft_in,171,M,BROWN,BLACK,B,35,COLUMBIA,MO
5ft_6in,160,M,BROWN,BLACK,W,26,COLUMBIA,MO
5ft_8in,200,M,HAZEL,BROWN,W,43,COLUMBIA,MO
5ft_6in,155,F,BLUE,BLOND OR STRAWBERRY,W,36,COLUMBIA,MO
5ft_9in,168,M,HAZEL,BROWN,W,58,ASHLAND,MO
