case #,charge_description,charge_status,bail_amount,bond_type,court_date,court_time,court_of_jurisdiction
15ba-cr01789-01,fta-tamp_w/_motor_veh,,"20,000.00",c/s,03/16/2020,13:30,
17ba-cr02117-01,fta-terrorist_threat_2nd,,"5,000.00",c/s,03/16/2020,13:30,
16mn-cr00153-01,monroe/forgery,,"20,000.00",cash,,,
19ba-cr01541-01,statutory_sodomy_or_attempted_statutory_sodomy_-_deviate_sex,,"100,000.00",cash,10/31/2019,14:00,
19ba-cr02661-01,armed_criminal_action,,"250,000.00",cash,05/11/2020,13:30,
19ba-cr02661-01,assault_1st_degree_-_serious_physical_injury_spec_victim,,"250,000.00",cash,05/11/2020,13:30,
19ba-cr02661-01,murder_2nd_degree_-_felony_murder_-_during_perpetration/atte,,"500,000.00",cash,05/11/2020,13:30,
20ba-cr01031,unlawful_possession_of_a_firearm,,"1,500.00",c/s,03/12/2020,13:30,
20ba-cr01648,assault_1st_degree_-_serious_physical_injury_spec_victim,,"200,000.00",cash,05/19/2020,13:00,
20ba-cr01648,armed_criminal_action,,.00,cash,05/19/2020,13:00,
20ba-cr01648,discharge/shoot_firearm_at_or_from_motor_vehicle,,.00,cash,05/19/2020,13:00,
20ba-cr00659,tampering_with_motor_vehicle_-_1st_degree,,"25,000.00",c/s,03/09/2020,13:30,d11
20ba-cr00659,resisting/interfering_with_arrest_for_a_felony,,.00,c/s,03/09/2020,13:30,d11
20ba-cr00659,operated_a_motor_vehicle_in_a_careless_and_imprudent_manner,,.00,c/s,03/09/2020,13:30,d11
19ba-cr03850,delivery_of_controlled_substance_except_35_grams_or_less_of,,"10,000.00",cash,03/16/2020,13:30,d05
19ba-cr03850,delivery_of_controlled_substance_except_35_grams_or_less_of,,"10,000.00",cash,10/30/2019,09:00,d05
19ba-cr03850,delivery_of_controlled_substance_except_35_grams_or_less_of,,"10,000.00",cash,10/30/2019,09:00,d05
18ba-cr02851-01,bond_revocation/dv2/uuw/dv3,,"30,000.00",c/s,09/09/2019,13:30,d04
19ba-cr05325,possession_of_child_pornography_-_2nd/subsequent_offense,,"50,000.00",cash,04/13/2020,13:30,
19ba-cr05325,possession_of_child_pornography_-_2nd/subsequent_offense,,"50,000.00",cash,04/13/2020,13:30,d05
20ba-cr01530,assault_1st_degree_or_attempt,,"500,000.00",cash,06/11/2020,14:00,
20ba-cr01530,armed_criminal_action,,.00,cash,06/11/2020,14:00,
20ba-cr01530,unlawful_use_of_weapon-subsection_9-shoot_at/from_motor_veh,,.00,cash,06/11/2020,14:00,
14cocr0003901,ooc_warrant_-_cooper_co_-_prob_viol:_poss_cont_subs,,"2,500.00",c/s,,,
16ba-cr02213-01,prob_viol:_poss_cont_subs,,"5,000.00",cash,05/19/2020,13:00,d04
19ba-cr00196-01,unlawful_use_of_weapon_-_subsection_4_-_exhibiting,,"60,000.00",cash,,,d02
170230527,out_of_county_warrant/jcpd,,"1,000.00",c/s,,,oth
19accr01240,ooc_warrant_-_cole_co_-_fta:_poss_cont_subs,,500.00,c/s,,,
204020crcbcw,atf_warr_user_cont_subt_poss_firearm,,.00,nobd,,,fed
20ba-cr00519,assault_1st_degree_or_attempt,,"150,000.00",cash,04/23/2020,13:30,
20ba-cr00519,armed_criminal_action,,.00,cash,04/23/2020,13:30,
20ba-cr00519,unlawful_use_of_weapon-subsection_9-shoot_at/from_mv,,.00,cash,04/23/2020,13:30,
19ba-cr04359,assault_-_2nd_degree,,.00,nobd,03/11/2020,09:00,d11
213_122_629,immigration_detainer_(jail),,.00,nobd,,,fed
19ba-cr04359,assault_1st_degree_-_serious_physical_injury_spec_victim,,.00,nobd,03/11/2020,09:00,d11
19ba-cr04359,armed_criminal_action,,.00,nobd,03/11/2020,09:00,d11
15ba-cr02294-01,fta_driving_while_revoked_or_suspended_&_thief_/_stealing,,"7,500.00",c/s,05/11/2020,13:30,
15ba-cr02288-01,"fta_(pcs,_poss_marij,_dwi_drug_persist)",,"7,500.00",c/s,05/11/2020,13:30,
14ba-cr04128-01,fta_(pcs_x2),,"7,500.00",c/s,05/11/2020,13:30,
14ba-cr03047-01,"fta:_pcs_marij_35g_or_less,_dwi-drug_intoxication",,"7,500.00",c/s,05/11/2020,13:30,d02
20ba-cr01488-01,resisting/interfering_with_arrest_for_a_felony,,"1,000.00",c/s,05/11/2020,13:30,d11
18ba-cr04238-01,p&p_hold_(jail)/_orig:_burg_2nd/possess_cont_sub/resisting,,"7,500.00",c/s,05/11/2020,13:30,d11
19cm-cr01152-01,ooc/_camden_co/_prob_viol/_tamp_w/_airplane/_motorboat_1st,,.00,nobd,,,oth
18ba-cr03041-01,endangering_the_welfare_of_a_child_creating_substantial_risk,,"100,000.00",cash,01/13/2020,13:30,
18ba-cr03041-01,sexual_trafficking_of_a_child_-_2nd_deg_-_under_18_yoa,,"100,000.00",cash,01/13/2020,13:30,
19ba-cr03265-01,murder_2nd_degree,,"1,000,000.00",cash,03/09/2020,13:30,d11
18ba-cr03837,"assault_-_4th_degree_-_pursuant_to_subdivisions_(3),_(6)_-_s",,"5,000.00",c/s,11/07/2019,14:00,d05
18ba-cr01085,resisting_arrest/detention/stop_by_fleeing_-_creating_a_subs,,"50,000.00",c/s,03/06/2019,13:30,d05
not_filed,assault_-_2nd_degree,not_filed,"4,500.00",c/s,,,
18ba-cr01085,assault_1st_degree_or_attempt,,"50,000.00",c/s,03/16/2019,13:30,d05
20ba-cr00884-01,possession_of_controlled_substance_except_35_grams_or_less_o,,500.00,c/s,04/16/2020,14:00,
20ba-cr00446-01,"bond_rev_-_pcs,_poss_drug_para",,500.00,c/s,04/20/2020,13:30,
17ba-cr00519-01,"fta-delivery,pcs,dwi",,.00,nobd,06/08/2020,13:30,d02
1166070,probation_viol_-_amphetamine_poss_-_district_6,,.00,nobd,,,
warrant_signed,harassment_-_1st_degree,,"25,000.00",cash,05/11/2020,07:56,d07
20ba-cr01572,child_molestation_-_1st_degree,,"150,000.00",c/s,05/19/2020,13:00,
20ba-cr01572,child_molestation_-_2nd_degree_-child_less_than_12_yoa,,.00,c/s,05/19/2020,13:00,
19ba-cr03745,"assault_-_4th_degree_-_pursuant_to_subdivisions_(1),_(2),_(4",,"5,000.00",cash,04/29/2020,13:00,d05
19ba-cr02845,burglary_-_2nd_degree,,"5,000.00",c/s,01/15/2020,13:30,d05
19ba-cr02845,stealing_-_$750_or_more,,"2,500.00",c/s,01/15/2020,13:30,d05
20ba-cr01603,violation_of_order_of_protection_for_adult_-_1st_ofns,,"4,500.00",c/s,05/20/2020,09:00,
18ba-cr04274-01,fta:_poss_cont_subs,,"7,500.00",c/s,05/11/2020,13:30,d02
19ba-cr04784-01,prob_viol:_tampering_motor_vehicle_1st,,"10,000.00",c/s,05/11/2020,13:30,d02
20ba-cr01787,assault_-_2nd_degree,,"25,000.00",c/s,05/11/2020,13:00,
20ba-cr01787,unlawful_use_of_weapon_-_subsection_4_-_exhibiting,,.00,c/s,05/11/2020,13:00,
20ba-cr01787,armed_criminal_action,,.00,c/s,05/11/2020,13:00,
